"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"ClaseT";"Talla";"Abundancia";"Clase";"FM"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Holacanthus";"passer";"Holacanthus passer";"";NA;20;14;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;20;7;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;150;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Halichoeres";"dispilus";"Halichoeres dispilus";"";NA;8;3;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Lutjanus";"argentiventris";"Lutjanus argentiventris";"";NA;35;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Cephalopholis";"panamensis";"Cephalopholis panamensis";"";NA;15;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Epinephelus";"labriformis";"Epinephelus labriformis";"";NA;25;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";4;"Holacanthus";"passer";"Holacanthus passer";"";NA;20;3;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";4;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;25;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";4;"Haemulon";"maculicauda";"Haemulon maculicauda";"";NA;25;8;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";4;"Caranx";"caballus";"Caranx caballus";"";NA;25;5;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";5;"Holacanthus";"passer";"Holacanthus passer";"";NA;20;16;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";5;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;100;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";1;"Paranthias";"colonus";"Paranthias colonus";"";NA;30;4;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;80;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";1;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;20;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Stegastes";"rectifraenum";"Stegastes rectifraenum";"";NA;5;6;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Stegastes";"rectifraenum";"Stegastes rectifraenum";"";NA;10;3;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Holacanthus";"passer";"Holacanthus passer";"";NA;20;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Holacanthus";"passer";"Holacanthus passer";"";NA;30;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Holacanthus";"passer";"Holacanthus passer";"";NA;10;3;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;5;10;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;10;4;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;120;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Abudefduf";"troscheli";"Abudefduf troscheli";"";NA;20;7;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Haemulon";"maculicauda";"Haemulon maculicauda";"";NA;20;15;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Paranthias";"colonus";"Paranthias colonus";"";NA;25;10;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Pomacanthus";"zonipectus";"Pomacanthus zonipectus";"";NA;20;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Cephalopholis";"panamensis";"Cephalopholis panamensis";"";NA;20;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Epinephelus";"labriformis";"Epinephelus labriformis";"";NA;25;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";2;"Scorpaena";"mystes";"Scorpaena mystes";"";NA;30;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Holacanthus";"passer";"Holacanthus passer";"";NA;30;7;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Holacanthus";"passer";"Holacanthus passer";"";NA;25;3;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;20;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;10;6;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Girella";"simplicidens";"Girella simplicidens";"";NA;20;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Epinephelus";"labriformis";"Epinephelus labriformis";"";NA;35;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Serranus";"psittacinus";"Serranus psittacinus";"";NA;5;3;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Holacanthus";"passer";"Holacanthus passer";"";NA;20;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";2;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;11;"medium";3;"Haemulon";"maculicauda";"Haemulon maculicauda";"";NA;25;15;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";2;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;20;"low";3;"Haemulon";"maculicauda";"Haemulon maculicauda";"";NA;5;20;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";2;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;20;"low";3;"Stegastes";"rectifraenum";"Stegastes rectifraenum";"";NA;5;10;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";2;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;20;"low";3;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;10;7;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";2;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;20;"low";3;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;30;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";2;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;20;"low";3;"Serranus";"psittacinus";"Serranus psittacinus";"";NA;5;8;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";2;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;20;"low";3;"Lutjanus";"argentiventris";"Lutjanus argentiventris";"";NA;30;1;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";2;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Becerra, Ulises";0.465277778;0.494444444;20;30;20;"low";3;"Cephalopholis";"panamensis";"Cephalopholis panamensis";"";NA;30;2;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Rojo, Mario";0.463888889;0.489583333;5;30;20;"low";9;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;10;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Rojo, Mario";0.463888889;0.489583333;5;30;20;"low";9;"Paranthias";"colonus";"Paranthias colonus";"";NA;20;6;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Rojo, Mario";0.463888889;0.489583333;5;30;20;"low";10;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;150;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Rojo, Mario";0.463888889;0.489583333;6;30;20;"low";11;"Paranthias";"colonus";"Paranthias colonus";"";NA;20;1;"fish";"mid-water"
